	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
164	Sdr9c7	90.7855904494508	-4.75399729522029	0.759186790530853	-6.26195997416672	3.80168532381228e-10	3.45745999812892e-08
165	Try4	129748.784488736	-2.96622650990384	0.474033427198941	-6.25742055245184	3.91396926963593e-10	3.53813390723836e-08
166	Ydjc	134.234068767188	2.39649594313552	0.383049612198708	6.2563591420433	3.9406869273799003e-10	3.54095497199179e-08
167	Nt5dc2	141.944885463109	3.93064846971354	0.62988045560257	6.24030867246599	4.36708258053189e-10	3.90074054782509e-08
168	Abhd3	57.0399593268933	-2.82738550099837	0.453302745959886	-6.23730062568069	4.45185948134207e-10	3.95293511106622e-08
169	Plekhb1	265.872680097006	-2.00641356517605	0.322619015334186	-6.21914230039323	4.998798086441161e-10	4.41246847559624e-08
170	Tfrc	1340.58401033228	2.25387740961812	0.362817834605847	6.21214613682552	5.22657842545399e-10	4.58655180423173e-08
172	Erp27	7308.76964597446	-2.59512717210418	0.41936819342461	-6.18818311162816	6.08616072661892e-10	5.27323411370037e-08
173	Hmmr	91.1271026510333	3.05730464594105	0.494103356445248	6.18758121364803	6.10943735991597e-10	5.27323411370037e-08
174	Cenpa	177.906435342975	3.05804366139524	0.494421902012208	6.18508939217611	6.206728792877631e-10	5.32218127233838e-08
175	Slc16a7	254.033659308292	-1.89448192101862	0.306771076675879	-6.17555586252432	6.593108880682011e-10	5.62137453769968e-08
176	Dio1	42.9341194553596	-3.03546414332406	0.492723377247847	-6.16058478954039	7.24767958466309e-10	6.14455818347199e-08
178	Cdc20	173.673313190698	4.0730735789114	0.663076284311612	6.14269228937958	8.113436571307091e-10	6.80168878151029e-08
179	Gm20300	149.336575139111	-2.23465440251072	0.364227029085312	-6.13533380024717	8.49805678764222e-10	7.08454667529773e-08
180	Rab3d	2572.59954491368	-2.32086154882348	0.37843241246814	-6.13282972694331	8.632953357140391e-10	7.1572429876933e-08
181	Gm6652	100.256335265386	-2.68807418115274	0.438513743787778	-6.12996563786985	8.78980551069638e-10	7.24724293920384e-08
182	Lcmt1	1510.20482101204	-2.34585094076551	0.383764972768505	-6.11272812065778	9.79421541792218e-10	8.03125664269619e-08
183	Slc26a6	201.22044512153	-1.98292112761086	0.324531745609946	-6.11009910258248	9.95692913186398e-10	8.12030861699733e-08
184	Tmem266	67.3266667321734	5.41897366044939	0.887445470636637	6.10626099264658	1.01992178725361e-09	8.27294396731228e-08
185	Lmnb1	342.21859453954	2.25409726268527	0.369495199397389	6.10047780420825	1.0575186706379301e-09	8.53178772666278e-08
186	Ell2	1102.92466352335	-1.62349475483164	0.266521453585114	-6.09142240894005	1.11911824255667e-09	8.98047505230232e-08
187	Pcsk6	186.894340932087	-2.47332174275958	0.407166529222176	-6.07447215144243	1.2439622045101301e-09	9.9292004472761e-08
188	Smim1	130.574593010731	-1.8117892602336	0.298529335047251	-6.06904932792225	1.2866962454801302e-09	1.02159597141137e-07
189	Pbld2	147.434280129519	-2.72188765107703	0.448638702069798	-6.06699252320315	1.3032762180154202e-09	1.02931383829154e-07
190	Shmt1	223.087371814276	1.82549714718063	0.301021083651645	6.06434979582088	1.32488528675041e-09	1.04090202162182e-07
191	Rapgefl1	46.1758844911296	-2.58937293327772	0.427316133220739	-6.05961893776691	1.36444404753999e-09	1.06639830090547e-07
192	Mcm10	88.2256505931228	3.64467758982257	0.60234741411954	6.05078980068347	1.4413741795101302e-09	1.12068709521912e-07
193	Gata6	199.15428115295	-1.59324131676038	0.263532850696608	-6.0457028888387	1.48760015408e-09	1.15066638722291e-07
194	E330023G01Rik	24.6033271011891	-9.37576203021447	1.55104549638568	-6.04480142720656	1.49594130380461e-09	1.15118436948164e-07
195	Mgp	1438.45206973156	2.51463775747186	0.416139480951326	6.04277621465574	1.5148470055867901e-09	1.15978541662425e-07
196	Slc6a4	45.9957787391717	-3.4888615133892	0.578195276786736	-6.03405398393811	1.5989660893783701e-09	1.21452170370649e-07
197	Kif20a	107.677150814996	3.04602315999215	0.504835485480835	6.03369463438358	1.60252763783743e-09	1.21452170370649e-07
198	Klk1b3	280.288005933782	-3.08054491488831	0.510862686050149	-6.03008401084495	1.6387446800362e-09	1.23572877731775e-07
199	Ckb	125.071128838963	2.36669025267305	0.392721841212428	6.02637797115255	1.6767480221431901e-09	1.25806404101403e-07
200	Trip13	53.2355688488442	3.15574774660451	0.523816346118183	6.02453086848212	1.6960083476719902e-09	1.26618414254557e-07
201	Ndc1	197.317143085817	2.80563931162192	0.46622768440498	6.01774498913036	1.7686352226933402e-09	1.31386832434338e-07
202	Lzts3	163.648571904529	-2.18731694839114	0.364218818366977	-6.00550229172193	1.90740470523676e-09	1.40997610870851e-07
203	Kif21a	581.901498637126	-1.90759277769621	0.318374472564668	-5.99166372331796	2.07705073130448e-09	1.52785408205662e-07
204	Ggt1	2731.74357243768	-2.72954947646446	0.455672501766179	-5.99015623256784	2.0963955210586504e-09	1.53456152141493e-07
